2023-09-15 08:19:16,571 INFO    MainThread:87409 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-09-15 08:19:16,572 INFO    MainThread:87409 [wandb_setup.py:_flush():76] Configure stats pid to 87409
2023-09-15 08:19:16,572 INFO    MainThread:87409 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2023-09-15 08:19:16,572 INFO    MainThread:87409 [wandb_setup.py:_flush():76] Loading settings from /discobox/wjpeng/code/202306/ngc-workspace/LVIS-Inapinting/wandb/settings
2023-09-15 08:19:16,572 INFO    MainThread:87409 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-09-15 08:19:16,572 INFO    MainThread:87409 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'LVIS-Inapinting/wj_lvis_inpaint.py', 'program': 'wj_lvis_inpaint.py'}
2023-09-15 08:19:16,573 INFO    MainThread:87409 [wandb_init.py:_log_setup():507] Logging user logs to /discobox/wjpeng/code/202306/ngc-workspace/LVIS-Inapinting/wandb/run-20230915_081916-lpxma71z/logs/debug.log
2023-09-15 08:19:16,573 INFO    MainThread:87409 [wandb_init.py:_log_setup():508] Logging internal logs to /discobox/wjpeng/code/202306/ngc-workspace/LVIS-Inapinting/wandb/run-20230915_081916-lpxma71z/logs/debug-internal.log
2023-09-15 08:19:16,573 INFO    MainThread:87409 [wandb_init.py:init():547] calling init triggers
2023-09-15 08:19:16,573 INFO    MainThread:87409 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-09-15 08:19:16,573 INFO    MainThread:87409 [wandb_init.py:init():596] starting backend
2023-09-15 08:19:16,573 INFO    MainThread:87409 [wandb_init.py:init():600] setting up manager
2023-09-15 08:19:16,577 INFO    MainThread:87409 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-09-15 08:19:16,581 INFO    MainThread:87409 [wandb_init.py:init():606] backend started and connected
2023-09-15 08:19:16,584 INFO    MainThread:87409 [wandb_init.py:init():703] updated telemetry
2023-09-15 08:19:16,629 INFO    MainThread:87409 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-09-15 08:19:16,985 INFO    MainThread:87409 [wandb_run.py:_on_init():2176] communicating current version
2023-09-15 08:19:17,106 INFO    MainThread:87409 [wandb_run.py:_on_init():2185] got version response upgrade_message: "wandb version 0.15.10 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-09-15 08:19:17,106 INFO    MainThread:87409 [wandb_init.py:init():787] starting run threads in backend
2023-09-15 08:19:32,531 INFO    MainThread:87409 [wandb_run.py:_console_start():2155] atexit reg
2023-09-15 08:19:32,531 INFO    MainThread:87409 [wandb_run.py:_redirect():2010] redirect: SettingsConsole.WRAP_RAW
2023-09-15 08:19:32,532 INFO    MainThread:87409 [wandb_run.py:_redirect():2075] Wrapping output streams.
2023-09-15 08:19:32,532 INFO    MainThread:87409 [wandb_run.py:_redirect():2100] Redirects installed.
2023-09-15 08:19:32,533 INFO    MainThread:87409 [wandb_init.py:init():828] run started, returning control to user process
