2023-08-01 15:08:30,956 INFO    MainThread:201529 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-08-01 15:08:30,957 INFO    MainThread:201529 [wandb_setup.py:_flush():76] Configure stats pid to 201529
2023-08-01 15:08:30,957 INFO    MainThread:201529 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2023-08-01 15:08:30,957 INFO    MainThread:201529 [wandb_setup.py:_flush():76] Loading settings from /discobox/wjpeng/code/202306/ngc-workspace/segment_video/wandb/settings
2023-08-01 15:08:30,958 INFO    MainThread:201529 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-08-01 15:08:30,958 INFO    MainThread:201529 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'segment_video/groundedeSAM.py', 'program': 'groundedeSAM.py'}
2023-08-01 15:08:30,958 INFO    MainThread:201529 [wandb_init.py:_log_setup():507] Logging user logs to /discobox/wjpeng/code/202306/ngc-workspace/segment_video/wandb/run-20230801_150830-8wty1di8/logs/debug.log
2023-08-01 15:08:30,958 INFO    MainThread:201529 [wandb_init.py:_log_setup():508] Logging internal logs to /discobox/wjpeng/code/202306/ngc-workspace/segment_video/wandb/run-20230801_150830-8wty1di8/logs/debug-internal.log
2023-08-01 15:08:30,958 INFO    MainThread:201529 [wandb_init.py:init():547] calling init triggers
2023-08-01 15:08:30,958 INFO    MainThread:201529 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-08-01 15:08:30,958 INFO    MainThread:201529 [wandb_init.py:init():596] starting backend
2023-08-01 15:08:30,958 INFO    MainThread:201529 [wandb_init.py:init():600] setting up manager
2023-08-01 15:08:30,962 INFO    MainThread:201529 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-08-01 15:08:30,969 INFO    MainThread:201529 [wandb_init.py:init():606] backend started and connected
2023-08-01 15:08:30,973 INFO    MainThread:201529 [wandb_init.py:init():703] updated telemetry
2023-08-01 15:08:31,016 INFO    MainThread:201529 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-08-01 15:08:31,610 INFO    MainThread:201529 [wandb_run.py:_on_init():2176] communicating current version
2023-08-01 15:08:31,661 INFO    MainThread:201529 [wandb_run.py:_on_init():2185] got version response upgrade_message: "wandb version 0.15.7 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-08-01 15:08:31,661 INFO    MainThread:201529 [wandb_init.py:init():787] starting run threads in backend
2023-08-01 15:08:43,789 INFO    MainThread:201529 [wandb_run.py:_console_start():2155] atexit reg
2023-08-01 15:08:43,790 INFO    MainThread:201529 [wandb_run.py:_redirect():2010] redirect: SettingsConsole.WRAP_RAW
2023-08-01 15:08:43,790 INFO    MainThread:201529 [wandb_run.py:_redirect():2075] Wrapping output streams.
2023-08-01 15:08:43,790 INFO    MainThread:201529 [wandb_run.py:_redirect():2100] Redirects installed.
2023-08-01 15:08:43,792 INFO    MainThread:201529 [wandb_init.py:init():828] run started, returning control to user process
